MA-Line	Sample	MeanDepth
Col-0	34	24.44060211554109
Col-0	35	23.381489172352417
Col-0	36	7.342942161056351
Col-0	37	10.391256138127673
Col-0	38	10.637764014610132
Col-0	39	8.80561729642352
Col-0	4	28.31434959884256
Col-0	40	40.072025817808424
Col-0	41	52.390776064802715
Col-0	42	47.22735626148595
Col-0	43	30.681260714756693
Col-0	44	27.217631969758337
Col-0	45	26.756804333107652
Col-0	46	25.62568093385214
Col-0	47	24.55925780739579
Col-0	48	46.21246089676747
Col-0	49	40.09371324009933
Col-0	5	35.51394268009295
Col-0	50	47.61555440145417
Col-0	51	23.78747173826307
Col-0	52	14.438088341781318
Col-0	53	26.822210498549197
Col-0	54	20.973245973245973
Col-0	55	24.5270305907173
Col-0	56	18.724917763157894
Col-0	57	17.705217022479854
Col-0	58	22.454024520255864
Col-0	59	25.11135401011067
Col-0	6	25.777039596066967
Col-0	60	22.91162662247998
Col-0	61	10.89793456957636
Col-0	62	13.291190510632143
Col-0	63	11.529769858945805
Col-0	64	19.364345254100563
Col-0	65	16.28625367081527
Col-0	66	33.548472607927295
Col-0	67	12.684126291284738
Col-0	68	36.57590300580955
Col-0	69	35.22019402604034
Col-0	7	34.45974549577926
Col-0	71	16.91449658821891
Col-0	72	26.54154801967383
Col-0	73	29.02792639958241
Col-0	74	30.338018917498687
Col-0	75	24.0381861575179
Col-0	76	45.06155967903711
Col-0	77	29.65094580777096
Col-0	78	28.34655014999348
Col-0	79	27.7815159052232
Col-0	8	32.790691759918616
Col-0	80	37.5228978978979
Col-0	81	42.626204480040045
Col-0	82	32.64374759028402
Col-0	83	44.3327562755039
Col-0	84	30.974385918823067
Col-0	85	25.141550053821312
Col-0	86	18.74861188228762
Col-0	88	16.385031303357998
Col-0	89	15.290336622170633
Col-0	9	39.741028251463476
Col-0	91	24.68986083499006
Col-0	92	24.4739534257639
Col-0	94	14.314177913220142
Col-0	96	21.729715278706056
Col-0	98	15.456394099957038
Col-0	99	19.602028059452703
RUD4_Founder	SRR16296277	23.02249605479636
RUD4_Founder	SRR16296310	26.395154911008568
RUD4	SRR16296015	20.653809163976096
RUD4	SRR16296016	25.00629867930918
RUD4	SRR16296027	22.15900650744438
RUD4	SRR16296030	14.659134309357098
RUD4	SRR16296041	22.004655713369996
RUD4	SRR16296052	14.763119298873189
RUD4	SRR16296070	18.310802740207272
RUD4	SRR16296081	23.082109048960064
RUD4	SRR16296092	12.672558242081282
RUD4	SRR16296103	9.643296189078796
RUD4	SRR16296114	24.657795962533392
RUD4	SRR16296127	36.1290589246743
RUD4	SRR16296138	18.4700703615126
RUD4	SRR16296149	20.13021066016014
RUD4	SRR16296157	23.364552580678
RUD4	SRR16296168	15.924835909379631
RUD4	SRR16296179	25.405429012967815
RUD4	SRR16296192	15.988171129055107
RUD4	SRR16296193	13.12301295260524
RUD4	SRR16296204	9.926751347190146
RUD4	SRR16296215	20.35627000791711
RUD4	SRR16296222	23.54154322650148
RUD4	SRR16296223	16.45566098309196
RUD4	SRR16296224	22.70179233621755
RUD4	SRR16296235	20.707929165659845
RUD4	SRR16296246	19.838281463281465
RUD4	SRR16296257	18.727746662439678
RUD4	SRR16296268	22.103441191576785
RUD4	SRR16296283	17.777793359744766
RUD4	SRR16296294	32.463221008910025
RUD4	SRR16296305	18.55611050958751
RUD4	SRR16296311	17.194687160051934
RUD4	SRR16296312	16.891841011615103
RUD4	SRR16296313	18.87264134551899
RUD4	SRR16296314	16.87281351912244
RUD4	SRR16296315	14.433816556022219
RUD4	SRR16296316	17.391163864160898
RUD4	SRR16296317	19.120602354178995
RUD4	SRR16296318	36.19444530836936
RUD4	SRR16296319	17.82796125491752
RUD4	SRR16296320	21.47920964414647
RUD4	SRR16296330	17.806311962987444
RUD4	SRR16296331	24.547212626159993
RUD4	SRR16296348	18.87483978245055
RUD4	SRR16296359	14.65921988362905
