unit	μ
CN1A18	0.0133333333333333
CN1A18	0.03
CN1A18	0.021875
CN1A18	0.0303030303030303
CN1A18	0.0242424242424242
CN1A18	0.02
CN1A18	0.024
CN1A18	0.0206896551724138
CN1A18	0.034375
CN1A18	0.03
CN1A18	0.0137931034482759
CN1A18	0.032258064516129
CN1A18	0.0394736842105263
CN1A18	0.0171428571428571
CN1A18	0.0266666666666667
CN1A18	0.0172413793103448
CN1A18	0.02
CN1A18	0.0382352941176471
CN1A18	0.0142857142857143
CN1A18	0.0153846153846154
CN1A18	0.0228571428571429
CN1A18	0.0161290322580645
CN1A18	0.0178571428571429
CN1A18	0.0257142857142857
CN1A18	0.0181818181818182
CN1A18	0.0225806451612903
CN1A18	0.0333333333333333
CN1A18	0.0243243243243243
CN1A18	0.02
CN1A18	0.025
CN1A18	0.025
CN1A18	0.025
CN1A18	0.0264705882352941
CN1A18	0.0166666666666667
CN1A18	0.0171428571428571
CN1A18	0.0296296296296296
CN1A18	0.0192307692307692
CN1A18	0.0212121212121212
CN1A18	0.0235294117647059
CN1A18	0.0323529411764706
CN1A18	0.0233333333333333
CN1A18	0.0181818181818182
CN1A18	0.0307692307692308
CN1A18	0.0214285714285714
CN1A18	0.025
CN1A18	0.0222222222222222
CN1A18	0.0228571428571429
CN1A18	0.0193548387096774
CN1A18	0.0147058823529412
CN1A18	0.0259259259259259
CN1A18	0.0303030303030303
CN2A16	0.0222222222222222
CN2A16	0.02
CN2A16	0.0212121212121212
CN2A16	0.0230769230769231
CN2A16	0.0212121212121212
CN2A16	0.0290322580645161
CN2A16	0.0454545454545455
CN2A16	0.0347826086956522
CN2A16	0.0212121212121212
CN2A16	0.028125
CN2A16	0.032258064516129
CN2A16	0.027027027027027
CN2A16	0.0166666666666667
CN2A16	0.02
CN2A16	0.0275862068965517
CN2A16	0.0206896551724138
CN2A16	0.021875
CN2A16	0.0129032258064516
CN2A16	0.0242424242424242
CN2A16	0.0176470588235294
CN2A16	0.0258064516129032
CN2A16	0.0256410256410256
CN2A16	0.0307692307692308
CN2A16	0.0205882352941176
CN2A16	0.02
CN2A16	0.021875
CN2A16	0.0266666666666667
CN2A16	0.0314285714285714
CN2A16	0.0259259259259259
CN2A16	0.0266666666666667
CN2A16	0.0222222222222222
CN2A16	0.0166666666666667
CN2A16	0.0290322580645161
CN2A16	0.08
CN2A16	0.0272727272727273
CN2A16	0.0236842105263158
CN2A16	0.0259259259259259
CN2A16	0.0178571428571429
CN2A16	0.0166666666666667
CN2A16	0.0225806451612903
CN2A16	0.0241379310344828
CN2A16	0.032258064516129
CN2A16	0.0205882352941176
CN2A16	0.0235294117647059
CN2A16	0.0228571428571429
CN2A16	0.0194444444444444
CN2A16	0.0238095238095238
CN2A16	0.0305555555555556
CN2A16	0.0243243243243243
CN2A16	0.02
CN2A16	0.0257142857142857
RUD4	0.00462962962962963
RUD4	0
RUD4	0.0120967741935484
RUD4	0.00892857142857143
RUD4	0.00862068965517241
RUD4	0.00480769230769231
RUD4	0.00462962962962963
RUD4	0.00925925925925926
RUD4	0
RUD4	0.00657894736842105
RUD4	0.015
RUD4	0.00446428571428571
RUD4	0
RUD4	0.0192307692307692
RUD4	0.00416666666666667
RUD4	0
RUD4	0.00403225806451613
RUD4	0.00961538461538462
RUD4	0
RUD4	0.00625
RUD4	0.00462962962962963
RUD4	0.00390625
RUD4	0.00543478260869565
RUD4	0.00446428571428571
RUD4	0.0129310344827586
RUD4	0.005
RUD4	0.00806451612903226
RUD4	0.00416666666666667
RUD4	0.0113636363636364
RUD4	0.0192307692307692
RUD4	0.015
RUD4	0
RUD4	0.00462962962962963
RUD4	0.00925925925925926
RUD4	0.021551724137931
RUD4	0.0144230769230769
RUD4	0.00446428571428571
RUD4	0
RUD4	0.00862068965517241
RUD4	0.01
RUD4	0
RUD4	0.01
RUD4	0.00892857142857143
RUD4	0.005
RUD4	0
RUD4	0.00378787878787879
RUD4	0.0104166666666667
RUD4	0
RUD4	0
RUD4	0.005
RUD6	0
RUD6	0
RUD6	0
RUD6	0.0197368421052632
RUD6	0
RUD6	0
RUD6	0.0333333333333333
RUD6	0.00833333333333333
RUD6	0
RUD6	0.0104166666666667
RUD6	0
RUD6	0.015625
RUD6	0.00833333333333333
RUD6	0
RUD6	0
RUD6	0.0104166666666667
RUD6	0
RUD6	0
RUD6	0
RUD6	0
RUD6	0.0208333333333333
RUD6	0
RUD6	0.0113636363636364
RUD6	0.0125
RUD6	0.00961538461538462
RUD6	0.0104166666666667
RUD6	0.0208333333333333
RUD6	0.03125
RUD6	0
RUD6	0.025
RUD6	0.0125
RUD6	0.0267857142857143
RUD6	0.0138888888888889
RUD6	0.0125
RUD6	0.0113636363636364
RUD6	0.0208333333333333
RUD6	0.0113636363636364
RUD6	0
RUD6	0
RUD6	0
RUD6	0
RUD6	0
RUD6	0
RUD6	0
RUD6	0.0208333333333333
RUD6	0
RUD6	0.0147058823529412
RUD6	0
RUD6	0
RUD6	0.00961538461538462
SB4	0.00357142857142857
SB4	0.0138888888888889
SB4	0.00914634146341463
SB4	0.016025641025641
SB4	0.00862068965517241
SB4	0.00986842105263158
SB4	0
SB4	0.00403225806451613
SB4	0.0078125
SB4	0.0111111111111111
SB4	0.00657894736842105
SB4	0.00403225806451613
SB4	0.00347222222222222
SB4	0
SB4	0
SB4	0.00641025641025641
SB4	0
SB4	0.00328947368421053
SB4	0.00657894736842105
SB4	0.0121951219512195
SB4	0.00347222222222222
SB4	0.00735294117647059
SB4	0.0110294117647059
SB4	0.00320512820512821
SB4	0.0148809523809524
SB4	0.00297619047619048
SB4	0
SB4	0.0131578947368421
SB4	0
SB4	0.00657894736842105
SB4	0.0138888888888889
SB4	0.00581395348837209
SB4	0
SB4	0.00625
SB4	0
SB4	0.0078125
SB4	0.00609756097560976
SB4	0.0166666666666667
SB4	0.00735294117647059
SB4	0.00431034482758621
SB4	0.00595238095238095
SB4	0.0101351351351351
SB4	0.00641025641025641
SB4	0.00641025641025641
SB4	0.0101351351351351
SB4	0.00595238095238095
SB4	0.00480769230769231
SB4	0.005
SB4	0.00625
SB4	0.00367647058823529
SB4	0.0106382978723404
SB4	0.0104166666666667
SB4	0.00595238095238095
SB5	0
SB5	0.0120967741935484
SB5	0.0110294117647059
SB5	0
SB5	0.00337837837837838
SB5	0.00609756097560976
SB5	0.0217391304347826
SB5	0.0263157894736842
SB5	0.00714285714285714
SB5	0.0214285714285714
SB5	0
SB5	0.016304347826087
SB5	0
SB5	0.00543478260869565
SB5	0.01
SB5	0.00806451612903226
SB5	0
SB5	0.0144230769230769
SB5	0.00986842105263158
SB5	0.0108695652173913
SB5	0.00625
SB5	0
SB5	0.00284090909090909
SB5	0.00431034482758621
SB5	0.005
SB5	0.00852272727272727
SB5	0.0078125
SB5	0.025
SB5	0.00245098039215686
SB5	0
SB5	0.00833333333333333
SB5	0.00462962962962963
SB5	0.0131578947368421
SB5	0.0116279069767442
SB5	0.00914634146341463
SB5	0.00328947368421053
SB5	0
SB5	0.0108695652173913
SB5	0
SB5	0.00986842105263158
SB5	0.00568181818181818
SB5	0.01171875
SB5	0
SB5	0
SB5	0.00806451612903226
SB5	0.00833333333333333
SB5	0.00914634146341463
SB5	0
SB5	0
SB5	0
SB5	0.00297619047619048
SB5	0.0110294117647059
SB5	0.0101351351351351
SB5	0.00416666666666667
SB5	0
SB5	0.00304878048780488
